dimension,cond_before,cond_after,bf_norm,prg_norm,bf_time,prg_time,prg_win
3,202.05242908099348,8.623456491233997,2.0,2.0,0.004069805145263672,0.0655355453491211,0
3,9.412438710778313,7.208015347028139,4.242640687119285,4.242640687119285,0.003545522689819336,0.06782722473144531,0
3,43876.145980918365,3539.2386433617794,1.4142135623730951,1.4142135623730951,0.004001140594482422,0.06259036064147949,0
3,1298.890501121244,189.4733925874065,2.23606797749979,2.23606797749979,0.004992246627807617,0.0687096118927002,0
3,47.893383017838644,2.7807264732089174,3.3166247903554,3.3166247903554,0.003000497817993164,0.06650972366333008,0
3,11.451033063112737,11.451033063112737,4.69041575982343,4.69041575982343,0.0040264129638671875,0.06954264640808105,0
3,5755.838746882532,5755.838746882532,2.23606797749979,1.4142135623730951,0.0032100677490234375,0.06891345977783203,1
3,88.59127373807941,69.60241139745162,2.0,2.0,0.0049800872802734375,0.06505846977233887,0
3,265.7659977585903,27.123131100303212,1.0,1.0,0.003999948501586914,0.08438944816589355,0
3,8.282395617656368,3.813280664908725,5.0990195135927845,5.0990195135927845,0.005027055740356445,0.06454753875732422,0
3,98.50548264288413,10.280821604596422,2.8284271247461903,2.8284271247461903,0.004019975662231445,0.06250238418579102,0
3,9.536227970628087,9.536227970628087,5.0990195135927845,5.0990195135927845,0.003027677536010742,0.06403827667236328,0
3,57.59783080644944,5.291126094189732,3.1622776601683795,3.1622776601683795,0.0030002593994140625,0.0625617504119873,0
3,5.7543876711523305,5.7543876711523305,3.3166247903554,3.3166247903554,0.0030007362365722656,0.06595993041992188,0
3,393.26130374422553,454.90577050173385,2.23606797749979,2.23606797749979,0.0030007362365722656,0.06501340866088867,0
3,7.7315092984536875,3.3071644693524735,4.242640687119285,4.242640687119285,0.0030052661895751953,0.0625615119934082,0
3,893.2307878574215,140.83053298330108,1.4142135623730951,1.4142135623730951,0.004001140594482422,0.06569838523864746,0
3,46.231901592829495,17.960833657110072,3.7416573867739413,3.7416573867739413,0.004060268402099609,0.07151508331298828,0
3,198.18597755189387,54.06606038403325,2.449489742783178,2.449489742783178,0.005001068115234375,0.06842541694641113,0
3,5.834491143302646,5.834491143302646,4.898979485566356,4.898979485566356,0.0040013790130615234,0.06752896308898926,0
3,63.93086354255498,5.121666447113249,2.23606797749979,2.23606797749979,0.006001472473144531,0.06546449661254883,0
3,6.552370146759074,6.552370146759074,4.58257569495584,4.58257569495584,0.003999471664428711,0.07602238655090332,0
3,23.80276378738735,14.145981459209983,2.8284271247461903,2.8284271247461903,0.002511739730834961,0.06837773323059082,0
3,102.54242296126196,3.5077892814557337,2.23606797749979,2.23606797749979,0.002998828887939453,0.06626152992248535,0
3,36.88325233342911,5.333333333333333,2.449489742783178,2.449489742783178,0.0029990673065185547,0.11557960510253906,0
3,395.22181280667127,135.297425689063,2.23606797749979,2.23606797749979,0.007078409194946289,0.09636592864990234,0
3,74.12984294710702,60.86011407490922,1.4142135623730951,1.4142135623730951,0.0030400753021240234,0.07851123809814453,0
3,97.03447376799367,9.772001872658754,2.0,2.0,0.003081798553466797,0.06486868858337402,0
3,8.667329634629077,3.217784257283604,5.0990195135927845,5.0990195135927845,0.003147602081298828,0.06456995010375977,0
3,30.515152349332425,6.253431584671041,2.449489742783178,2.449489742783178,0.003125429153442383,0.06470680236816406,0
3,7.820374474257229,5.435893851706594,4.358898943540674,4.358898943540674,0.004196643829345703,0.06447601318359375,0
3,9.520233741833877,5.828427124746196,3.1622776601683795,3.1622776601683795,0.004000663757324219,0.06515097618103027,0
3,5.014499611891224,5.014499611891224,4.58257569495584,4.58257569495584,0.003137826919555664,0.07710456848144531,0
3,93.71908533020517,20.91825071371734,1.7320508075688772,1.7320508075688772,0.006135463714599609,0.08028268814086914,0
3,113.07960133247683,113.07960133247683,3.7416573867739413,3.3166247903554,0.004182577133178711,0.07735586166381836,1
3,88.01242482960261,25.731397685904074,1.7320508075688772,1.7320508075688772,0.004559993743896484,0.0652167797088623,0
3,78.68788616589944,46.97229316832686,1.4142135623730951,1.4142135623730951,0.0040857791900634766,0.0654599666595459,0
3,233.84299399386313,12.25057345615504,1.7320508075688772,1.7320508075688772,0.0033223628997802734,0.06860804557800293,0
3,115.46271124604723,10.030412558777094,2.23606797749979,2.23606797749979,0.00315093994140625,0.06307768821716309,0
3,568.3297278617088,60.67381217337775,2.8284271247461903,2.8284271247461903,0.003292560577392578,0.06440901756286621,0
3,222.94765112910068,34.83999288147832,1.4142135623730951,1.4142135623730951,0.0030825138092041016,0.06283211708068848,0
3,134.4271007343862,27.002352145528448,1.7320508075688772,1.7320508075688772,0.0040280818939208984,0.07387113571166992,0
3,8.179054995620428,4.483312340191764,4.47213595499958,4.47213595499958,0.007055044174194336,0.0665895938873291,0
3,12.779749498796251,12.779749498796251,3.7416573867739413,3.7416573867739413,0.003979921340942383,0.08024024963378906,0
3,13.192850797795394,7.495922941518494,3.3166247903554,3.3166247903554,0.004021167755126953,0.11618471145629883,0
3,21.376412550507762,4.2304703266969925,2.23606797749979,2.23606797749979,0.0040018558502197266,0.06931543350219727,0
3,66.49131045341298,6.721781301306734,2.449489742783178,2.449489742783178,0.0040323734283447266,0.06599831581115723,0
3,53.16815760631297,22.454795427517062,1.4142135623730951,1.4142135623730951,0.0031592845916748047,0.07097387313842773,0
3,9.826876558394513,3.8798665677629187,4.123105625617661,4.123105625617661,0.00305938720703125,0.06657743453979492,0
3,118.56423515246324,35.89633239689443,2.23606797749979,2.23606797749979,0.0032339096069335938,0.06295418739318848,0
